eventid,id,ccode,countryname,startdate,enddate,duration,stday,stmo,styr,eday,emo,eyr,etype,escalation,actor1,actor2,actor3,target1,target2,cgovtarget,rgovtarget,npart,ndeath,repress,elocal,ilocal,sublocal,locnum,gislocnum,issue1,issue2,issue3,issuenote,nsource,notes,female_event,lgbtq_issue,coder,acd_questionable,latitude,longitude,geo_comments,location_precision
400001,1,40,Cuba,28-Jan-90,28-Jan-90,1,28,1,1990,28,1,1990,2,0,Citizens,,,U.S. government,,0,0,5,0,0,Unknown,Unknown,1,-99,-99,8,,,"Citizens demonstrated against U.S. plans for television station to beam programming into Cuba, Castro delivered speech at rally.",AP,,0,0,MW,0,21.950001,-79.550003,Unknown location,no
400002,2,40,Cuba,5-Mar-90,5-Mar-90,1,5,3,1990,5,3,1990,2,0,Government supporters,,,Sebastian Arcos - dissident,Other dissidents,0,0,-99,0,0,Unknown,Unknown,1,-99,-99,11,,,Pro-government demonstration occurred in front of Arcos' home to protest meeting of dissidents.,AP,,0,0,MW,0,21.950001,-79.550003,Unknown location,no
400003,3,40,Cuba,8-Mar-90,8-Mar-90,1,8,3,1990,8,3,1990,2,0,Government supporters,,,Gustavo Arcos - human rights activist and dissident,Three other dissidents,0,0,3,0,0,Unknown,Unknown,1,-99,-99,11,,,"Pro-government demonstration occurred outside home where meeting of dissidents occurred, chanting anti-U.S. slogans and support for Castro.",AP,,0,0,MW,0,21.950001,-79.550003,Unknown location,no
400004,4,40,Cuba,9-Jul-90,26-Jul-90,18,9,7,1990,26,7,1990,2,4,Cuban asylum-seekers,,,Czechoslovak/Italian/Spanish/Swiss governments,Cuban government,1,0,2,0,1,Havana,Havana,1,1,1,10,,,"Asylum-seekers sought refuge in Czechoslovak, Spanish, Swiss & Italian embassies. 7 Cubans took hostages at Czechoslovak embassy. One arrested at Spanish embassy.",AP,Is asylum-seeking at embassies a codeable event? Is hostage-taking codeable? Not explicitly stated when event ended.,0,0,MW,0,23.05407,-82.345192,,
400005,5,40,Cuba,17-Jul-90,17-Jul-90,1,17,7,1990,17,7,1990,7,0,Police,,,Citizen,,0,0,-99,0,0,Havana,Havana,1,1,1,11,,,Man was beaten and taken away by police after attempting to enter U.S. interests section of the Swiss embassy.,AP,Exact date not specified; event date approximated,0,0,MW,0,23.05407,-82.345192,,
400006,6,40,Cuba,26-Dec-90,26-Dec-90,1,26,12,1990,26,12,1990,4,0,Mozambican students,,,Government of Mozambique,,0,0,-99,1,0,Isla de la Juventud,Isla de la Juventud,1,3,3,7,,,Students rioted to demand stipends for their grant studies program from Mozambican government.,AP,,0,0,MW,0,21.66667,-82.833344,Location set to center point of the island.,
400007,7,40,Cuba,15-Nov-91,15-Nov-91,1,15,11,1991,15,11,1991,7,0,Pro-government mob,,,Maria Elena Cruz Varela,,0,0,-99,0,0,Havana,Havana,1,-99,1,11,,,Cruz Varela was dragged from her house by mob that tried to force papers with her writings down her throat.,Both,"Date not given, so estimated here.",0,0,MW,0,23.05407,-82.345192,,
400008,8,40,Cuba,9-Jan-92,9-Jan-92,1,9,1,1992,9,1,1992,8,0,7 citizens,,,3 Interior Ministry agents,,1,0,2,3,0,Tarara,Tarara,1,3,3,10,,,7 citizens killed 3 agents while attempting to flee the island.,AP,Unclear if this is same event as one below.,0,0,MW,0,23.174509,-82.206703,,
400009,9,40,Cuba,11-Jan-92,11-Jan-92,1,11,1,1992,11,1,1992,8,0,Citizens,,,Government agents,,1,0,-99,3,0,Unknown,Unknown,1,-99,-99,10,,,3 government agents killed in citizens' botched attempt to flee the island.,AP,"Date not given, so estimated here. Unclear if this is same event as one above.",0,0,MW,0,21.950001,-79.550003,Unknown location,no
400010,10,40,Cuba,16-Jan-92,16-Jan-92,1,16,1,1992,16,1,1992,2,0,Angry crowds,,,Gustavo Arcos,Sebastian Arcos Bergnes,0,0,-99,0,0,Unknown,Unknown,1,-99,-99,11,,,Angry crowds gathered outside houses of human rights activists after they were implicated in testimony.,AP,,0,0,MW,0,21.950001,-79.550003,Unknown location,no
