cname,year,bti_ci,bti_seb,bti_si,bti_sop,bti_rol,bti_pp,bti_pdi,bti_ij,bti_foe,bti_ffe,bti_eo,bti_csp,bti_cr,bti_aar,ccodealp
Afghanistan,2005,9.0,1.0,6.0,3.0,2.25,4.25,3.0,1.0,4.0,4.0,1.0,4.0,2.0,6.0,AFG
Afghanistan,2007,9.0,1.0,6.0,5.0,3.75,4.75,3.0,4.0,4.0,6.0,2.0,4.0,3.0,6.0,AFG
Afghanistan,2009,10.0,1.0,6.0,3.0,2.25,4.0,3.0,2.0,4.0,6.0,2.0,3.0,2.0,4.0,AFG
Afghanistan,2011,10.0,1.0,6.0,3.0,2.25,3.25,3.0,2.0,4.0,3.0,2.0,3.0,2.0,4.0,AFG
Afghanistan,2013,9.0,1.0,6.0,4.0,2.75,3.25,3.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,AFG
Afghanistan,2015,9.0,1.0,6.0,3.0,2.5,3.5,3.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,AFG
Afghanistan,2017,9.0,1.0,6.0,3.0,2.5,3.5,3.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,AFG
Afghanistan,2019,9.0,1.0,7.0,4.0,3.0,3.75,3.0,3.0,4.0,4.0,3.0,4.0,2.0,5.0,AFG
Albania,2005,2.0,5.0,9.0,5.0,5.5,8.0,6.0,5.0,9.0,6.0,6.0,6.0,8.0,9.0,ALB
Albania,2007,2.0,6.0,9.0,7.0,6.25,8.25,7.0,5.0,8.0,8.0,6.0,7.0,8.0,9.0,ALB
Albania,2009,2.0,6.0,9.0,7.0,6.25,8.25,7.0,5.0,8.0,8.0,6.0,7.0,8.0,9.0,ALB
Albania,2011,2.0,6.0,9.0,6.0,6.0,7.5,6.0,5.0,7.0,7.0,6.0,6.0,8.0,9.0,ALB
Albania,2013,3.0,5.0,8.0,4.0,5.0,7.0,5.0,4.0,7.0,6.0,6.0,6.0,8.0,8.0,ALB
Albania,2015,3.0,5.0,9.0,4.0,5.0,7.25,6.0,4.0,7.0,7.0,6.0,6.0,8.0,8.0,ALB
Albania,2017,3.0,6.0,9.0,4.0,5.25,7.5,6.0,5.0,7.0,7.0,6.0,7.0,8.0,9.0,ALB
Albania,2019,3.0,6.0,9.0,5.0,5.5,7.75,6.0,5.0,7.0,7.0,7.0,7.0,8.0,10.0,ALB
Algeria,2005,7.0,4.0,8.0,4.0,4.25,4.25,2.0,4.0,5.0,5.0,2.0,4.0,5.0,5.0,DZA
Algeria,2007,7.0,5.0,8.0,4.0,4.25,4.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,DZA
